import time: self [us] | cumulative | imported package
import time:       180 |        180 |   _io
import time:        40 |         40 |   marshal
import time:       355 |        355 |   posix
import time:       721 |       1295 | _frozen_importlib_external
import time:       117 |        117 |   time
import time:       267 |        384 | zipimport
import time:        40 |         40 |     _codecs
import time:       660 |        700 |   codecs
import time:       674 |        674 |   encodings.aliases
import time:      2003 |       3376 | encodings
import time:       711 |        711 | encodings.utf_8
import time:       118 |        118 | _signal
import time:        31 |         31 |       _abc
import time:       170 |        201 |     abc
import time:        41 |         41 |       _stat
import time:       118 |        158 |     stat
import time:       889 |        889 |     _collections_abc
import time:        65 |         65 |       errno
import time:       100 |        100 |       genericpath
import time:       188 |        352 |     posixpath
import time:       556 |       2155 |   os
import time:       103 |        103 |   _sitebuiltins
import time:       376 |        376 |   encodings.utf_8_sig
import time:        44 |         44 |       atexit
import time:       118 |        118 |             itertools
import time:       696 |        696 |             keyword
import time:        65 |         65 |               _operator
import time:       525 |        589 |             operator
import time:       789 |        789 |             reprlib
import time:        64 |         64 |             _collections
import time:      1850 |       4103 |           collections
import time:        38 |       4141 |         collections.abc
import time:        40 |         40 |               _types
import time:       475 |        515 |             types
import time:        54 |         54 |             _functools
import time:      1030 |       1597 |           functools
import time:       755 |       2352 |         contextlib
import time:       209 |        209 |         io
import time:      2033 |       2033 |           enum
import time:        70 |         70 |             _sre
import time:       826 |        826 |               re._constants
import time:      1046 |       1872 |             re._parser
import time:       294 |        294 |             re._casefix
import time:       618 |       2852 |           re._compiler
import time:       405 |        405 |           copyreg
import time:      1133 |       6421 |         re
import time:      2165 |      15285 |       configparser
import time:       952 |        952 |           _winapi
import time:       207 |        207 |           nt
import time:       197 |        197 |           nt
import time:       193 |        193 |           nt
import time:       188 |        188 |           nt
import time:       198 |        198 |           nt
import time:       189 |        189 |           nt
import time:       190 |        190 |           nt
import time:       344 |       2655 |         ntpath
import time:       479 |        479 |           fnmatch
import time:       654 |       1132 |         glob
import time:        53 |         53 |         pwd
import time:       469 |        469 |         grp
import time:       443 |        443 |           fcntl
import time:       208 |        208 |           _winapi
import time:       656 |       1305 |         pathlib._os
import time:      1479 |       7091 |       pathlib
import time:       469 |        469 |         math
import time:       951 |        951 |           _bisect
import time:       374 |       1325 |         bisect
import time:       417 |        417 |         _random
import time:       643 |       2853 |       random
import time:       619 |        619 |         _socket
import time:      2081 |       2699 |       socket
import time:       909 |        909 |         _uuid
import time:       723 |       1631 |       uuid
import time:       446 |        446 |               _json
import time:       540 |        986 |             json.scanner
import time:       714 |       1699 |           json.decoder
import time:      1004 |       1004 |           json.encoder
import time:       782 |       3484 |         json
import time:       218 |        218 |         nersc_pymon._vendor
import time:        32 |         32 |                 _contextvars
import time:       779 |        779 |                 _weakrefset
import time:       806 |       1616 |               threading
import time:      1060 |       2676 |             sysconfig
import time:      1141 |       1141 |             _ctypes
import time:       628 |        628 |               _struct
import time:       689 |       1316 |             struct
import time:       539 |        539 |             ctypes._endian
import time:      1490 |       7161 |           ctypes
import time:        49 |         49 |             _datetime
import time:       644 |        693 |           datetime
import time:      1464 |       9317 |         nersc_pymon._vendor.nerscjson
import time:       864 |      13882 |       nersc_pymon.log
import time:      2064 |      45546 |     nersc_pymon
import time:      2551 |      48096 |   sitecustomize
import time:       211 |        211 |   usercustomize
import time:      1082 |      52021 | site
import time:       448 |        448 | linecache
import time:       646 |        646 |   healpy.version
import time:       607 |        607 |         _py_warnings
import time:       709 |       1315 |       warnings
import time:       558 |        558 |       numpy.version
import time:       576 |        576 |       numpy._expired_attrs_2_0
import time:       558 |        558 |           numpy._utils._convertions
import time:       533 |       1090 |         numpy._utils
import time:       582 |       1671 |       numpy._globals
import time:        67 |         67 |         numpy._distributor_init_local
import time:       438 |        505 |       numpy._distributor_init
import time:       743 |        743 |                 numpy.exceptions
import time:       797 |        797 |                 numpy._core._exceptions
import time:       794 |        794 |                   contextvars
import time:       611 |       1404 |                 numpy._core.printoptions
import time:       832 |        832 |                 numpy.dtypes
